image_id,mask_id,class_name
labeller12_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller12_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Dermatoglyph disruption
labeller62_vitiligo-63--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_vitiligo-63--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller52_vitiligo-46--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_vitiligo-46--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Closed comedo
labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Open comedo
labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Cyst
labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Pustule
labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_acne-face-2--WatermarkedWyJXYXRlcm1hcmtlZCJd_00004,Plaque
labeller72_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Pustule
labeller72_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Nodule
labeller72_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scar
labeller72_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Open comedo
labeller82_033765HB,labeller82_033765HB_00000,Nodule
labeller82_033765HB,labeller82_033765HB_00001,Papule
labeller82_033765HB,labeller82_033765HB_00002,Macule
labeller82_033765HB,labeller82_033765HB_00003,Open comedo
labeller22_vitiligo-63--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_vitiligo-63--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller32_017171HB,labeller32_017171HB_00000,Sun damage
labeller32_017171HB,labeller32_017171HB_00001,Patch
labeller32_017171HB,labeller32_017171HB_00002,Scale
labeller3_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller3_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Closed comedo
labeller3_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller3_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller12_046419HB,labeller12_046419HB_00000,Plaque
labeller12_046419HB,labeller12_046419HB_00001,Sun damage
labeller72_161--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_161--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Pustule
labeller72_161--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_161--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Closed comedo
labeller72_161--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_161--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Open comedo
labeller72_161--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_161--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Papule
labeller2_032793HB,labeller2_032793HB_00000,Cyst
labeller2_032793HB,labeller2_032793HB_00001,Pustule
labeller2_032793HB,labeller2_032793HB_00002,Closed comedo
labeller2_032793HB,labeller2_032793HB_00003,Papule
labeller22_vitiligo-12--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_vitiligo-12--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller32_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Scar
labeller32_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Pustule
labeller32_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Papule
labeller32_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Closed comedo
labeller12_034250HB,labeller12_034250HB_00000,Open comedo
labeller12_034250HB,labeller12_034250HB_00001,Papule
labeller12_034250HB,labeller12_034250HB_00002,Scar
labeller72_045522HB,labeller72_045522HB_00000,Papule
labeller32_042355HB,labeller32_042355HB_00000,Pustule
labeller32_042355HB,labeller32_042355HB_00001,Open comedo
labeller32_042355HB,labeller32_042355HB_00002,Closed comedo
labeller32_042355HB,labeller32_042355HB_00003,Scar
labeller4_033148HB,labeller4_033148HB_00000,Closed comedo
labeller4_033148HB,labeller4_033148HB_00001,Pustule
labeller8_016414HB,labeller8_016414HB_00000,Plaque
labeller8_016414HB,labeller8_016414HB_00001,Scale
labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Open comedo
labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Closed comedo
labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Closed comedo
labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Open comedo
labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd_00004,Papule
labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-3-17--WatermarkedWyJXYXRlcm1hcmtlZCJd_00005,Scar
labeller2_034532HB,labeller2_034532HB_00000,Scar
labeller2_034532HB,labeller2_034532HB_00001,Closed comedo
labeller2_034532HB,labeller2_034532HB_00002,Papule
labeller2_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller2_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Closed comedo
labeller2_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller2_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Patch
labeller3_032793HB,labeller3_032793HB_00000,Nodule
labeller3_032793HB,labeller3_032793HB_00001,Papule
labeller3_032793HB,labeller3_032793HB_00002,Papule
labeller3_032793HB,labeller3_032793HB_00003,Closed comedo
labeller3_032793HB,labeller3_032793HB_00004,Open comedo
labeller7_034442HB,labeller7_034442HB_00000,Open comedo
labeller7_034442HB,labeller7_034442HB_00001,Closed comedo
labeller7_034442HB,labeller7_034442HB_00002,Scar
labeller8_032789HB,labeller8_032789HB_00000,Closed comedo
labeller8_032789HB,labeller8_032789HB_00001,Pustule
labeller8_032789HB,labeller8_032789HB_00002,Macule
labeller4_034442HB,labeller4_034442HB_00000,Open comedo
labeller4_034442HB,labeller4_034442HB_00001,Closed comedo
labeller22_440--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_440--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Plaque
labeller22_440--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_440--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Scale
labeller22_440--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_440--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Sun damage
labeller4_2755--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller4_2755--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Plaque
labeller4_2755--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller4_2755--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Scale
labeller42_044838HB,labeller42_044838HB_00000,Plaque
labeller42_044838HB,labeller42_044838HB_00001,Scale
labeller4_10556-P7070063,labeller4_10556-P7070063_00000,Open comedo
labeller8_032870HB,labeller8_032870HB_00000,Pustule
labeller8_032870HB,labeller8_032870HB_00001,Papule
labeller8_032870HB,labeller8_032870HB_00002,Nodule
labeller8_032870HB,labeller8_032870HB_00003,Closed comedo
labeller2_034495HB,labeller2_034495HB_00000,Pustule
labeller2_034495HB,labeller2_034495HB_00001,Papule
labeller2_034495HB,labeller2_034495HB_00002,Papule
labeller2_034495HB,labeller2_034495HB_00003,Closed comedo
labeller2_034495HB,labeller2_034495HB_00004,Closed comedo
labeller42_vitiligo-40--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_vitiligo-40--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller62_043191HB,labeller62_043191HB_00000,Plaque
labeller62_043191HB,labeller62_043191HB_00001,Scale
labeller62_033877HB,labeller62_033877HB_00000,Open comedo
labeller62_033877HB,labeller62_033877HB_00001,Papule
labeller32_ps5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_ps5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Scale
labeller32_ps5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_ps5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Plaque
labeller82_vitiligo-46--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller82_vitiligo-46--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller82_vitiligo-46--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller82_vitiligo-46--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Macule
labeller52_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Papule
labeller52_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Hyperkeratosis
labeller52_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_viral-wart-14--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Dermatoglyph disruption
labeller62_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Pustule
labeller62_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_acne-face-1-5--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller72_017322HB,labeller72_017322HB_00000,Patch
labeller5_3567--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller5_3567--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Plaque
labeller5_3567--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller5_3567--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller5_3567--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller5_3567--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scale
labeller3_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller3_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Scar
labeller3_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller3_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Closed comedo
labeller3_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller3_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Papule
labeller7_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Open comedo
labeller7_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Closed comedo
labeller7_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller7_acne-face-1-42--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Papule
labeller3_034495HB,labeller3_034495HB_00000,Open comedo
labeller3_034495HB,labeller3_034495HB_00001,Pustule
labeller3_034495HB,labeller3_034495HB_00002,Papule
labeller82_017322HB,labeller82_017322HB_00000,Scale
labeller5_033186HB,labeller5_033186HB_00000,Papule
labeller5_033186HB,labeller5_033186HB_00001,Pustule
labeller62_vitiligo-08--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_vitiligo-08--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller52_034250HB,labeller52_034250HB_00000,Papule
labeller52_034250HB,labeller52_034250HB_00001,Scar
labeller42_3746--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_3746--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller42_3746--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_3746--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Patch
labeller42_3746--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_3746--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scale
labeller42_3746--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_3746--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Sun damage
labeller8_032794HB,labeller8_032794HB_00000,Scar
labeller8_032794HB,labeller8_032794HB_00001,Open comedo
labeller1_032942HB,labeller1_032942HB_00000,Pustule
labeller1_032942HB,labeller1_032942HB_00001,Papule
labeller1_032942HB,labeller1_032942HB_00002,Closed comedo
labeller3_042963HB,labeller3_042963HB_00000,Plaque
labeller3_042963HB,labeller3_042963HB_00001,Scale
labeller72_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Open comedo
labeller72_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller72_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Macule
labeller42_046419HB,labeller42_046419HB_00000,Plaque
labeller42_046419HB,labeller42_046419HB_00001,Scale
labeller42_046419HB,labeller42_046419HB_00002,Sun damage
labeller42_vitiligo-08--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_vitiligo-08--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller42_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Plaque
labeller42_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Sun damage
labeller42_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scale
labeller2_034427HB,labeller2_034427HB_00000,Closed comedo
labeller2_034427HB,labeller2_034427HB_00001,Papule
labeller22_vitiligo4--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_vitiligo4--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller52_acne-face-2-31--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_acne-face-2-31--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Pustule
labeller52_acne-face-2-31--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_acne-face-2-31--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Scar
labeller82_232160-1,labeller82_232160-1_00000,Scale
labeller82_232160-1,labeller82_232160-1_00001,Plaque
labeller32_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Open comedo
labeller32_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller32_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_steroid-acne-09--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scar
labeller32_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Hyperkeratosis
labeller32_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller32_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Thrombosed capillaries
labeller72_033877HB,labeller72_033877HB_00000,Open comedo
labeller72_033877HB,labeller72_033877HB_00001,Open comedo
labeller72_033877HB,labeller72_033877HB_00002,Pustule
labeller72_033877HB,labeller72_033877HB_00003,Pustule
labeller3_033186HB,labeller3_033186HB_00000,Closed comedo
labeller3_033186HB,labeller3_033186HB_00001,Open comedo
labeller62_041881HB,labeller62_041881HB_00000,Plaque
labeller4_034444HB,labeller4_034444HB_00000,Closed comedo
labeller4_034443HB,labeller4_034443HB_00000,Open comedo
labeller4_034443HB,labeller4_034443HB_00001,Closed comedo
labeller7_032793HB,labeller7_032793HB_00000,Pustule
labeller7_032793HB,labeller7_032793HB_00001,Open comedo
labeller7_032793HB,labeller7_032793HB_00002,Closed comedo
labeller7_032793HB,labeller7_032793HB_00003,Open comedo
labeller7_032793HB,labeller7_032793HB_00004,Closed comedo
labeller7_032793HB,labeller7_032793HB_00005,Scar
labeller2_033506HB,labeller2_033506HB_00000,Closed comedo
labeller2_033506HB,labeller2_033506HB_00001,Pustule
labeller2_033506HB,labeller2_033506HB_00002,Scar
labeller2_033506HB,labeller2_033506HB_00003,Papule
labeller22_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Sun damage
labeller22_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Plaque
labeller22_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scale
labeller22_546--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_546--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Scar
labeller7_032870HB,labeller7_032870HB_00000,Pustule
labeller7_032870HB,labeller7_032870HB_00001,Papule
labeller7_032870HB,labeller7_032870HB_00002,Open comedo
labeller7_032870HB,labeller7_032870HB_00003,Closed comedo
labeller7_032870HB,labeller7_032870HB_00004,Open comedo
labeller7_034441HB,labeller7_034441HB_00000,Open comedo
labeller7_034441HB,labeller7_034441HB_00001,Closed comedo
labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Papule
labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Nodule
labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Nodule
labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller82_acne-face-4-4--WatermarkedWyJXYXRlcm1hcmtlZCJd_00004,Open comedo
labeller72_043110HB,labeller72_043110HB_00000,Scale
labeller72_043110HB,labeller72_043110HB_00001,Patch
labeller62_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Plaque
labeller62_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Papule
labeller62_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller62_wart12--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Dermatoglyph disruption
labeller22_ppps21--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_ppps21--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Hyperkeratosis
labeller22_ppps21--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_ppps21--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Plaque
labeller22_ppps21--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_ppps21--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scale
labeller22_vitiligo-40--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_vitiligo-40--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller22_vitiligo-40--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller22_vitiligo-40--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Patch
labeller1_033510HB,labeller1_033510HB_00000,Papule
labeller1_033510HB,labeller1_033510HB_00001,Papule
labeller3_032870HB,labeller3_032870HB_00000,Pustule
labeller3_032870HB,labeller3_032870HB_00001,Closed comedo
labeller3_032870HB,labeller3_032870HB_00002,Open comedo
labeller3_032870HB,labeller3_032870HB_00003,Scar
labeller4_032793HB,labeller4_032793HB_00000,Pustule
labeller4_032793HB,labeller4_032793HB_00001,Closed comedo
labeller42_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Dermatoglyph disruption
labeller42_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller42_verruca--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Hyperkeratosis
labeller52_acne-scar9--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_acne-scar9--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Scar
labeller82_044531HB,labeller82_044531HB_00000,Plaque
labeller82_044531HB,labeller82_044531HB_00001,Scale
labeller52_032720HB,labeller52_032720HB_00000,Pustule
labeller52_032720HB,labeller52_032720HB_00001,Scar
labeller6_032789HB,labeller6_032789HB_00000,Pustule
labeller6_032789HB,labeller6_032789HB_00001,Papule
labeller6_032789HB,labeller6_032789HB_00002,Macule
labeller12_440--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller12_440--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Patch
labeller12_440--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller12_440--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Scale
labeller12_440--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller12_440--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Scale
labeller12_440--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller12_440--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Sun damage
labeller52_wart24--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_wart24--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Dermatoglyph disruption
labeller52_wart24--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_wart24--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Thrombosed capillaries
labeller52_wart24--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_wart24--WatermarkedWyJXYXRlcm1hcmtlZCJd_00002,Plaque
labeller52_wart24--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_wart24--WatermarkedWyJXYXRlcm1hcmtlZCJd_00003,Hyperkeratosis
labeller42_032720HB,labeller42_032720HB_00000,Pustule
labeller42_032720HB,labeller42_032720HB_00001,Closed comedo
labeller42_032720HB,labeller42_032720HB_00002,Pustule
labeller52_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd_00000,Papule
labeller52_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd,labeller52_acne-face-56--WatermarkedWyJXYXRlcm1hcmtlZCJd_00001,Nodule
